Date	Transfection.Type	Cell.Label	Temperature	Std	IntDen	cellID
191205	GFP-V60	A	19.4	170.39003	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	19.5	163.52405	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	19.6	168.60277	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	19.7	166.74798	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	19.8	168.74605	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	19.9	169.50555	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	20.1	168.62265	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	20.3	164.91327	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	20.5	159.20086	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	20.7	163.85602	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	20.9	159.68293	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	21.1	159.58018	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	21.3	159.30567	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	21.5	160.74747	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	21.7	158.06967	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	21.9	162.56776	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	22.1	167.43041	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	22.5	159.92315	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	22.7	173.52222	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	23	179.26406	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	23.2	186.37611	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	23.5	190.35143	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	23.7	198.11703	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	24	205.46468	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	24.3	200.6927	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	24.6	209.96069	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	24.9	214.83131	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	25.2	209.51593	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	25.5	211.41103	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	25.8	215.49264	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	26.2	219.46852	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	26.5	218.82813	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	26.8	218.87117	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	27.1	221.79245	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	27.5	216.2112	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	27.9	215.04629	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	28.2	212.57621	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	28.5	213.54146	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	28.9	219.00078	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	29.3	224.97843	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	29.6	226.47092	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	29.9	233.52939	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	30.3	238.41502	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	30.8	238.92107	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	31.1	240.17377	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	31.5	245.09739	83376.01181	191205.GFP-V60.A
